Layer, Type, Ni, inW, inH, No, outW, outH, Ni/G, dataflowType, preFetch, preFetchAlign, procSize, inPlaneSize, dmaFreq, dmaFreqWt, kernelFreq, In-Read-memSpace, In-Read-accessor, In-Read-pitch, In-Read-width, In-Read-height, In-Read-size, In-Read-accessOffset, In-Read-baseAddress, In-Write-memSpace, In-Write-accessor, In-Write-pitch, In-Write-width, In-Write-height, In-Write-size, In-Write-accessOffset, In-Write-baseAddress, Out-Read-memSpace, Out-Read-accessor, Out-Read-pitch, Out-Read-width, Out-Read-height, Out-Read-size, Out-Read-accessOffset, Out-Read-baseAddress, Out-Write-memSpace, Out-Write-accessor, Out-Write-pitch, Out-Write-width, Out-Write-height, Out-Write-size, Out-Write-accessOffset, Out-Write-baseAddress, Wt-Read-memSpace, Wt-Read-accessor, Wt-Read-pitch, Wt-Read-width, Wt-Read-height, Wt-Read-size, Wt-Read-accessOffset, Wt-Read-baseAddress, Wt-Write-memSpace, Wt-Write-accessor, Wt-Write-pitch, Wt-Write-width, Wt-Write-height, Wt-Write-size, Wt-Write-accessOffset, Wt-Write-baseAddress, Wt-Oneshot-memSpace, Wt-Oneshot-accessor, Wt-Oneshot-pitch, Wt-Oneshot-width, Wt-Oneshot-height, Wt-Oneshot-size, Wt-Oneshot-accessOffset, Wt-Oneshot-baseAddress, 
 0,     Data, 3, 640, 640, 3, 640, 640, 3, FRAME, 0, 0, 409600, 409600, 1, 1, 1,,,,,,,,, MSMC, DMA, 409600, 409600, 2, 819200, 0, 0, ,,,,,,,, DDR, CPU, 409600, 409600, 3, 1229824, 0, 0, ,,,,,,,, L2, CPU, 0, 0, 0, 0, 0, ffffffff, ,,,,,,,, 
 1, DataConvert, 3, 640, 640, 3, 640, 640, 3,  COL, 0, 0, 204800, 409600, 6, 1, 6,,,,,,,,, L2, DMA, 409600, 409600, 1, 409600, 0, 0, ,,,,,,,, MSMC, CPU, 411523, 411523, 3, 1234816, 642, 7e, ,,,,,,,, L2, DMA, 0, 0, 0, 0, 0, ffffffff, ,,,,,,,, 
 2,     Conv, 3, 640, 640, 12, 320, 320, 3, ROW_C, 642, 642, 64100, 410882, 7, 1, 7,,,,,,,,, L2, DMA, 131072, 131072, 3, 393216, 0, 0, ,,,,,,,, MSMC, CPU, 103488, 103363, 12, 1241984, 322, 12f33e, ,,,,,,,, L2, DMA, 28, 28, 12, 384, 0, 60000, ,,,,,,,, 
 3,     Conv, 12, 320, 320, 32, 320, 320, 12, ROW_L, 644, 704, 15232, 103363, 7, 1, 7,,,,,,,,, L2, DMA, 31168, 31168, 12, 450176, 0, 0, ,,,,,,,, MSMC, CPU, 103488, 103363, 32, 3311744, 322, 3e, ,,,,,,,, L2, DMA, 192, 109, 32, 6144, 0, 6de80, ,,,,,,,, 
 4,     Conv, 32, 320, 320, 64, 160, 160, 32, ROW_L, 322, 322, 5136, 103042, 20, 1, 20,,,,,,,,, L2, DMA, 10688, 10688, 32, 434432, 0, 0, ,,,,,,,, MSMC, CPU, 26176, 26083, 64, 1675392, 162, 3288de, ,,,,,,,, L2, DMA, 320, 289, 64, 20480, 0, 6a100, ,,,,,,,, 
 5,     Conv, 64, 160, 160, 32, 160, 160, 64, ROW_L, 0, 0, 3328, 25760, 8, 1, 8,,,,,,,,, L2, DMA, 6720, 6720, 64, 450048, 0, 0, ,,,,,,,, MSMC, CPU, 26176, 26083, 32, 837760, 162, 5e, ,,,,,,,, L2, DMA, 192, 65, 32, 6144, 0, 6de00, ,,,,,,,, 
 6,     Conv, 64, 160, 160, 32, 160, 160, 64, ROW_L, 0, 0, 3328, 25760, 8, 1, 8,,,,,,,,, L2, DMA, 6720, 6720, 64, 450048, 0, 0, ,,,,,,,, MSMC, CPU, 26176, 26083, 32, 837760, 162, cc8de, ,,,,,,,, L2, DMA, 192, 65, 32, 6144, 0, 6de00, ,,,,,,,, 
 7,     Conv, 32, 160, 160, 32, 160, 160, 32, ROW_L, 0, 0, 6848, 25760, 4, 1, 4,,,,,,,,, L2, DMA, 13760, 13760, 32, 454016, 0, 0, ,,,,,,,, MSMC, CPU, 26176, 26083, 32, 837760, 162, 19915e, ,,,,,,,, L2, DMA, 33, 33, 32, 1152, 0, 6ed80, ,,,,,,,, 
 8,     Conv, 32, 160, 160, 32, 160, 160, 32, ROW_L, 324, 384, 6528, 26083, 4, 1, 4,,,,,,,,, L2, DMA, 13504, 13504, 32, 445184, 0, 0, ,,,,,,,, MSMC, CPU, 26176, 26083, 32, 837760, 162, 19915e, ,,,,,,,, L2, DMA, 320, 289, 32, 10240, 0, 6cb00, ,,,,,,,, 
 9,  EltWise, 64, 160, 160, 32, 160, 160, 64,  COL, 0, 0, 25760, 25760, 8, 1, 8,,,,,,,,, L2, DMA, 26176, 26176, 8, 418816, 0, 0, ,,,,,,,, MSMC, CPU, 26176, 26083, 32, 837760, 162, cc8de, ,,,,,,,, L2, DMA, 0, 0, 0, 0, 0, ffffffff, ,,,,,,,, 
